,Predicted Match-up Score,Actual Match-up Score
Bayonetta,100.6771458788346,76.2
Cloud,30.260118219527904,70.2
Corrin,29.695959403761748,36.8
Lucas,-11.851902300072203,3.5
Mewtwo,-19.074714116620974,44.6
Roy,-8.531660041802299,-20.6
Ryu,9.223199314923034,22.0
