,Predicted Match-up Score,Actual Match-up Score
Bayonetta,58.60691589852923,76.2
Cloud,76.82936392204427,70.2
Corrin,13.855504651059864,36.8
Lucas,-0.2893815478898125,3.5
Mewtwo,34.76865487501648,44.6
Roy,-42.452746411774356,-20.6
Ryu,-4.082942675498498,22.0
